model,publication_date,year,organization,domain,task,parameters,training_compute_flop,training_dataset_size_total,log10_parameters,log10_training_compute_flop,log10_training_dataset_size_total,parameters_provenance,training_compute_provenance,training_dataset_provenance,parameters_algorithm_imputed_flag,training_compute_algorithm_imputed_flag,training_dataset_algorithm_imputed_flag,reasoning_flag,tool_use_flag,agentic_flag,chat_flag,code_flag,multimodal_flag,historical_architecture_anchor,open_model_weights_code,foundation_model_flag,frontier_model_flag,imputed_any_flag
Qwen3-Omni-30B-A3B,2025-09-22,2025,Alibaba,"Multimodal,Language,Vision,Speech,Video","Language modeling/generation,Question answering,Visual question answering,Image captioning,Video description,Speech recognition (ASR),Speech synthesis,Speech-to-text,Text-to-speech (TTS)",35300000000,3.6e+22,2e+12,10.5477747054,22.5563025008,12.3010299957,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Gemini Robotics-ER 1.5,2025-09-25,2025,Google DeepMind,"Vision,Language,Speech","Instruction interpretation,Robotic manipulation,Image captioning,Object detection,Search,Language modeling/generation,Question answering,Speech recognition (ASR)",18392933425.6,1.94337721506e+24,1.319e+12,10.2646509989,24.2885571066,12.1202447955,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,0,1,0,0,0,0,1
Claude Sonnet 4.5,2025-09-29,2025,Anthropic,"Language,Vision,Multimodal","Language modeling/generation,Code generation,System control,Question answering,Quantitative reasoning,Mathematical reasoning,Visual question answering",550087265804,3.75100453212e+24,1.48996644258e+13,11.7404315914,24.5741475889,13.1731764872,mice_pmm,mice_pmm,mice_pmm,1,1,1,1,1,0,0,1,1,0,0,0,0,1
GLM-4.6,2025-09-30,2025,"Z.ai (Zhipu AI),Tsinghua University",Language,"Language modeling/generation,Question answering,Code generation,Quantitative reasoning,System control",357000000000,4.42e+24,2.3e+13,11.5526682161,24.6454222693,13.361727836,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,1,1,0,0,1,0,0,1,0,0,0
GPT-5 Pro,2025-10-07,2025,OpenAI,"Multimodal,Language,Vision","Language modeling/generation,Question answering",72349153415.9,3.874919354e+24,2.683281573e+12,10.8594334536,24.5882626683,12.4286662482,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,0,1,0,0,0,0,1
Ling-1T,2025-10-10,2025,Ant Group,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Code generation,Mathematical reasoning",1e+12,6.000001e+24,2e+13,12,24.7781513228,13.3010299957,strict_observed,strict_observed,strict_observed,0,0,0,1,0,0,0,1,0,0,1,0,0,0
Claude Haiku 4.5,2025-10-15,2025,Anthropic,Language,"Chat,Code generation,Language modeling/generation,Question answering",550087265804,4.752e+24,1.55499196139e+13,11.7404315914,24.676876432,13.1917281483,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,1,1,0,0,0,0,0,1
MiniMax-M2,2025-10-27,2025,MiniMax,Language,"Code generation,System control,Search,Language modeling/generation,Question answering",229000000000,2.6e+24,1.48e+13,11.3598354823,24.414973348,13.1702617154,strict_observed,mice_pmm,mice_pmm,0,1,1,0,1,0,0,1,0,0,1,0,0,1
Tongyi DeepResearch,2025-10-28,2025,Alibaba,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Search,System control",30500000000,5.5e+23,4.44971909226e+12,10.4842998393,23.7403626895,12.6483325951,strict_observed,mice_pmm,mice_pmm,0,1,1,1,1,0,0,0,0,0,1,0,0,1
Kimi K2 Thinking,2025-11-06,2025,Moonshot,Language,"Language modeling/generation,Question answering,Search,Quantitative reasoning,Code generation",1e+12,4.2e+24,2.12132034356e+13,12,24.6232492904,13.3266062569,epoch_source_estimate,epoch_source_estimate,mice_pmm,0,0,1,1,0,0,0,1,0,0,1,0,0,1
Kaiju Large,2025-11-07,2025,Character.ai,Language,Language modeling/generation,110000000000,4.08e+24,1.21655250606e+13,11.0413926852,24.6106601631,13.0851308577,epoch_source_estimate,mice_pmm,mice_pmm,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Kaiju Medium,2025-11-07,2025,Character.ai,Language,Language modeling/generation,34000000000,2.6e+24,6.204836823e+12,10.531478917,24.414973348,12.7927303648,epoch_source_estimate,mice_pmm,mice_pmm,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Kaiju Small,2025-11-07,2025,Character.ai,Language,Language modeling/generation,13000000000,1.91953119277e+24,8.66890996608e+12,10.1139433523,24.2831951739,12.9379644925,epoch_source_estimate,mice_pmm,mice_pmm,0,1,1,0,0,0,0,0,0,0,0,0,0,1
GPT-5.1-Codex,2025-11-12,2025,OpenAI,Language,Language modeling/generation,156160174180,4.30859605904e+24,2.04939015319e+12,11.1935702847,24.6343357799,12.3116246452,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,0,0,0,0,0,0,1
GPT-5.1,2025-11-13,2025,OpenAI,"Multimodal,Language,Vision","Language modeling/generation,Question answering",106957935657,2.63340464038e+24,1.4e+12,11.0292130122,24.4205175965,12.1461280357,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,0,1,0,0,0,0,1
GPT-5.1 Instant,2025-11-13,2025,OpenAI,"Multimodal,Language,Vision","Language modeling/generation,Question answering",164316767252,4.18855583704e+24,3e+12,11.2156818821,24.6220643093,12.4771212547,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,0,1,0,0,0,0,1
Grok 4.1,2025-11-17,2025,xAI,Language,"Language modeling/generation,Question answering,Mathematical reasoning,Quantitative reasoning,Code generation",827647267862,1.8e+25,7e+12,11.9178452857,25.2552725051,12.84509804,mice_pmm,mice_pmm,mice_pmm,1,1,1,1,0,0,0,1,0,0,0,0,0,1
P1-235B-A22B,2025-11-17,2025,Shanghai AI Lab,Language,Question answering,235000000000,2.69e+24,111800000000,11.3710678623,24.42975228,11.0484418036,epoch_source_estimate,mice_pmm,mice_pmm,0,1,1,0,0,0,0,0,0,0,1,0,0,1
Gemini 3 Pro,2025-11-18,2025,Google DeepMind,"Multimodal,Language,Vision",Language modeling/generation,25867353942.8,3.02989284662e+24,3e+12,10.4127520056,24.4814272698,12.4771212547,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,0,1,0,0,0,0,1
GPT-5.1-Codex-Max,2025-11-19,2025,OpenAI,Language,Language modeling/generation,102995145517,4.18855583704e+24,967057392299,11.0128167555,24.6220643093,11.9854522491,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,0,0,0,0,0,0,1
Grok 4.1 Fast,2025-11-19,2025,xAI,Language,"Language modeling/generation,Question answering,Mathematical reasoning,Quantitative reasoning,Code generation",671000000000,1.64972725018e+25,1e+13,11.8267225202,25.2174121481,13,mice_pmm,mice_pmm,mice_pmm,1,1,1,1,0,0,0,1,0,0,0,0,0,1
Olmo 3,2025-11-20,2025,Allen Institute for AI,Language,"Language modeling/generation,Chat,Reasoning,Code generation",32000000000,1.1e+24,5.5e+12,10.5051499783,24.0413926852,12.7403626895,strict_observed,epoch_source_estimate,strict_observed,0,0,0,1,0,0,1,1,0,0,1,0,0,0
Claude Opus 4.5,2025-11-24,2025,Anthropic,"Language,Multimodal,Vision","Code generation,Language modeling/generation,Quantitative reasoning,Search,Visual question answering,Translation,Image captioning,Instruction interpretation,Mathematical reasoning,Visual puzzles,Code autocompletion,Chat,Character recognition (OCR),Language modeling,Language generation,Text autocompletion,Retrieval-augmented generation,System control",671000000000,4.24970587218e+24,1.48e+13,11.8267225202,24.628358873,13.1702617154,mice_pmm,mice_pmm,mice_pmm,1,1,1,1,1,0,1,1,1,0,0,0,0,1
DeepSeekMath-V2,2025-11-27,2025,DeepSeek,Language,"Mathematical reasoning,Theorem proving,Proof generation,Proof verification",685000000000,3.97155888789e+24,1.48e+13,11.8356905715,24.5989610064,13.1702617154,strict_observed,mice_pmm,mice_pmm,0,1,1,1,0,0,0,0,0,0,1,0,0,1
GPT-5.2 Pro,2025-12-11,2025,OpenAI,"Multimodal,Language,Vision","Language modeling/generation,Question answering",112463327356,4.06878360201e+24,4.94974746831e+12,11.0510109285,24.6094645925,12.6945830422,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,0,1,0,0,0,0,1
Nemotron 3-Nano-30B-A3B,2025-12-15,2025,NVIDIA,Language,Language modeling/generation,31600000000,4.8e+23,300000000000,10.4996870826,23.6812412374,11.4771212547,epoch_source_estimate,epoch_source_estimate,mice_pmm,0,0,1,0,0,0,0,0,0,0,1,0,0,1
GPT-5.2 Codex,2025-12-18,2025,OpenAI,Language,Language modeling/generation,130338022081,3.50499643366e+24,1.67332005307e+12,11.1150711262,24.5446875804,12.2235790157,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,0,0,0,0,0,0,1
GLM-4.7,2025-12-22,2025,Z.ai (Zhipu AI),Language,"Language modeling/generation,Code generation",358000000000,4.42e+24,1.39771241677e+13,11.5538830266,24.6454222693,13.1454178233,epoch_source_estimate,epoch_source_estimate,mice_pmm,0,0,1,0,0,0,0,1,0,0,1,0,0,1
MiniMax-M2.1,2025-12-23,2025,MiniMax,Language,"Chat,Language modeling/generation,Code generation,Tool use,Agentic workflows",229000000000,3.93408674282e+24,1.48e+13,11.3598354823,24.5948439315,13.1702617154,strict_observed,mice_pmm,mice_pmm,0,1,1,0,1,1,1,1,0,0,1,0,0,1
HyperCLOVA X SEED 32B Think,2025-12-29,2025,NAVER,"Multimodal,Language,Vision","Language modeling/generation,(Visual) Question answering,Image Understanding",32000000000,2.5562e+23,181013543272,10.5051499783,23.4075948305,11.2577110696,strict_observed,mice_pmm,mice_pmm,0,1,1,0,0,0,0,0,1,0,-1,0,0,1
A.X K1,2025-12-30,2025,SK Telecom,Language,"Code generation,Language modeling/generation,Translation,Instruction interpretation,Mathematical reasoning,Chat,Language modeling,Language generation,Text autocompletion",519000000000,3.41438559627e+24,3.0495901364e+12,11.7151673578,24.5333125657,12.4842414743,strict_observed,mice_pmm,mice_pmm,0,1,1,1,0,0,1,1,0,0,-1,0,0,1
VAETKI,2025-12-30,2025,NC AI,Language,Language modeling/generation,100000000000,4.15764873456e+24,9.94987437107e+12,11,24.6188477945,12.9978175973,strict_observed,mice_pmm,mice_pmm,0,1,1,0,0,0,0,0,0,0,1,0,0,1
K-EXAONE,2025-12-31,2025,LG AI Research,Language,"Language modeling/generation,Chat,Question answering,Code generation,Mathematical reasoning,Instruction interpretation",236000000000,1.52e+24,1.1e+13,11.372912003,24.1818435879,13.0413926852,strict_observed,epoch_source_estimate,strict_observed,0,0,0,1,0,0,1,1,0,0,1,0,0,0
Solar Open 100B,2025-12-31,2025,Upstage,Language,"Language modeling/generation,Chat",102000000000,1.4e+24,1.97e+13,11.0086001718,24.1461280357,13.2944662262,strict_observed,epoch_source_estimate,strict_observed,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Qwen3-Max-Thinking,2026-01-25,2026,Alibaba,Language,Language modeling/generation,340000000000,3.49237e+24,7.86066154977e+12,11.531478917,24.5431202489,12.8954590976,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,0,0,0,0,0,0,1
Kimi K2.5,2026-02-02,2026,Moonshot,Language,Language modeling/generation,1.04e+12,5.8e+24,1.48e+13,12.0170333393,24.7634279936,13.1702617154,epoch_source_estimate,epoch_source_estimate,mice_pmm,0,0,1,0,0,0,0,0,0,0,1,0,0,1
Qwen3-Coder-Next,2026-02-02,2026,Alibaba,Language,"Language modeling/generation,Coding",80000000000,3.93408674282e+24,3e+13,10.903089987,24.5948439315,13.4771212547,epoch_source_estimate,mice_pmm,mice_pmm,0,1,1,0,0,0,0,1,0,0,1,0,0,1
GPT-5.3 Codex,2026-02-05,2026,OpenAI,Language,Language modeling/generation,117473401245,4.02094516252e+24,413021408625,11.0699395432,24.6043281503,11.6159725635,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,0,0,0,0,0,0,1
Qwen3.5 397B-A17B,2026-02-13,2026,Alibaba,"Language,Vision","Language modeling/generation,Vision-language generation",397000000000,4.752e+24,1.48e+13,11.5987905068,24.676876432,13.1702617154,epoch_source_estimate,mice_pmm,mice_pmm,0,1,1,0,0,0,0,0,1,0,1,0,0,1
GLM-5,2026-02-17,2026,Z.ai (Zhipu AI),Language,Language modeling/generation,744000000000,6.84e+24,2.10713075057e+13,11.8715729355,24.8350561017,13.3236914851,epoch_source_estimate,epoch_source_estimate,mice_pmm,0,0,1,0,0,0,0,0,0,0,1,0,0,1
Grok 4.20,2026-02-17,2026,xAI,Language,Language modeling/generation,500000000000,5.69210026264e+24,1.1e+13,11.6989700043,24.7552725413,13.0413926852,epoch_source_estimate,mice_pmm,mice_pmm,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Gemini 3.1 Pro,2026-02-19,2026,Google DeepMind,"Language,Vision",Language modeling/generation,92951600309,4.1337295509e+24,3.2939338184e+12,10.9682568712,24.6163420595,12.5177148691,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,0,1,0,0,0,0,1
Qwen3.5-122B-A10B,2026-02-24,2026,Alibaba,Language,Language modeling/generation,122000000000,4.752e+24,1.27593103262e+13,11.0863598307,24.676876432,13.1058272003,epoch_source_estimate,mice_pmm,mice_pmm,0,1,1,0,0,0,0,0,0,0,1,0,0,1
Gemini 3.0 Flash-lite,2026-03-03,2026,Google DeepMind,Language,Language modeling/generation,75894663844,6.07749948581e+24,6.33113997107e+12,10.8802112417,24.7837249308,12.8014819152,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,0,0,0,0,0,0,1
GPT-5.4,2026-03-05,2026,OpenAI,"Multimodal,Language,Vision","Language modeling/generation,Question answering",290668195715,3.97155888789e+24,4.12916456441e+12,11.4633975148,24.5989610064,12.6158621917,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,0,1,0,0,0,0,1
GPT-5.4 Pro,2026-03-05,2026,OpenAI,"Multimodal,Language,Vision","Language modeling/generation,Question answering",137000000000,3.2871568262e+24,6.5e+12,11.1367205672,24.5168204242,12.8129133566,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,0,1,0,0,0,0,1
Nemotron 3 Super,2026-03-11,2026,NVIDIA,Language,"Language modeling/generation,Coding",120000000000,3.75100453212e+24,3.3406586177e+12,11.079181246,24.5741475889,12.5238320973,epoch_source_estimate,mice_pmm,mice_pmm,0,1,1,0,0,0,0,1,0,0,-1,0,0,1
MiMo-V2-Pro,2026-03-18,2026,Xiaomi Corp,Language,"Language modeling/generation,Question answering",1.02e+12,4.77593969811e+24,1.03923048454e+13,12.0086001718,24.6790588347,13.0167118777,strict_observed,mice_pmm,mice_pmm,0,1,1,0,0,0,0,0,0,0,-1,0,0,1
Qwen3.5-Omni-Flash,2026-03-29,2026,Alibaba,"Language,Multimodal,Vision,Audio",Language modeling/generation,414391119596,4.84508823449e+24,1.5e+13,11.6174104399,24.6853016904,13.1760912591,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,0,1,0,0,0,0,1
Qwen3.5-Omni-Plus,2026-03-29,2026,Alibaba,"Language,Multimodal,Vision,Audio",Language modeling/generation,534976635004,4.46748251256e+24,1.27593103262e+13,11.7283348147,24.6500628612,13.1058272003,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,0,1,0,0,0,0,1
Qwen 3.6 Plus,2026-04-01,2026,Alibaba,"Language,Multimodal","Question answering,Language modeling/generation,Tool use",450000000000,2.90000000001e+24,9e+12,11.6532125138,24.4623979979,12.9542425094,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,1,0,0,0,1,0,0,0,0,1
GLM-5.1,2026-04-07,2026,Z.ai (Zhipu AI),Language,"Language modeling/generation,Question answering",754000000000,3.43343122838e+24,7e+12,11.8773713459,24.5357283529,12.84509804,strict_observed,mice_pmm,mice_pmm,0,1,1,0,0,0,0,0,0,0,-1,0,0,1
Muse Spark,2026-04-08,2026,Meta AI,"Multimodal,Language,Vision","Language modeling/generation,Question answering",358000000000,4.02119385258e+24,7e+12,11.5538830266,24.60435501,12.84509804,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,0,1,0,0,0,0,1
EXAONE 4.5,2026-04-09,2026,LG AI Research,"Language,Multimodal","Language modeling/generation,Question answering",33200000000,3.85e+24,2.7e+13,10.5211380837,24.5854607295,13.4313637642,strict_observed,epoch_source_estimate,mice_pmm,0,0,1,0,0,0,0,0,1,0,1,0,0,1
Claude Opus 4.7,2026-04-16,2026,Anthropic,Language,"Question answering,Language modeling/generation",325771699201,8.18191909029e+24,1.27593103262e+13,11.5129133531,24.9128551805,13.1058272003,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,0,0,0,0,0,0,1
Kimi K2.6,2026-04-20,2026,Moonshot,Language,Language modeling/generation,1.04e+12,4.04989392454e+24,2.10713075057e+13,12.0170333393,24.6074436483,13.3236914851,strict_observed,mice_pmm,mice_pmm,0,1,1,0,0,0,0,0,0,0,1,0,0,1
GPT-5.5,2026-04-23,2026,OpenAI,"Multimodal,Language,Vision","Language modeling/generation,Question answering",189736659610,4.94e+24,3.89871773792e+12,11.2781512504,24.6937269489,12.590921794,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,0,1,0,0,0,0,1
GPT-5.5 Pro,2026-04-23,2026,OpenAI,"Multimodal,Language,Vision","Language modeling/generation,Question answering",232473654421,6.70122376884e+24,780000000000,11.3663737427,24.8261541202,11.8920946027,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,0,1,0,0,0,0,1
MiMo-V2.5-Pro,2026-04-23,2026,Xiaomi Corp,Language,"Language modeling/generation,Question answering",1.02e+12,6.804e+24,2.7e+13,12.0086001718,24.8327643049,13.4313637642,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Tencent Hy3 preview,2026-04-23,2026,Tencent,Language,"Language modeling/generation,Question answering",295000000000,4.20784410358e+24,1e+13,11.469822016,24.6240596413,13,strict_observed,mice_pmm,mice_pmm,0,1,1,0,0,0,0,0,0,0,1,0,0,1
DeepSeek-V4-Flash,2026-04-24,2026,DeepSeek,Language,"Language modeling/generation,Question answering",284000000000,2.496e+24,3e+13,11.45331834,24.397244581,13.4771212547,epoch_source_estimate,epoch_source_estimate,mice_pmm,0,0,1,0,0,0,0,0,0,0,1,0,0,1
DeepSeek-V4-Pro,2026-04-24,2026,DeepSeek,Language,"Language modeling/generation,Question answering",1.6e+12,9.702e+24,1.32e+13,12.2041199827,24.9868612703,13.1205739312,epoch_source_estimate,epoch_source_estimate,mice_pmm,0,0,1,0,0,0,0,0,0,0,1,0,0,1
TML-Interaction-Small,2026-05-11,2026,Thinking Machines,"Language,Multimodal,Audio,Video","Language modeling/generation,Chat,Question answering",276000000000,2.53666868156e+24,5.0049975025e+12,11.4409090821,24.404263747,12.6994038651,strict_observed,mice_pmm,mice_pmm,0,1,1,0,0,0,1,0,1,0,0,0,0,1
Gemini 3.5 Flash,2026-05-19,2026,Google,"Language,Multimodal,Audio,Video,Vision","Language modeling/generation,Question answering",540174971653,7.62881773278e+24,5.44058820349e+12,11.7325344578,24.8824572389,12.7356458555,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,0,1,0,0,0,0,1
Claude Opus 4.8,2026-05-28,2026,Anthropic,Language,Language modeling/generation,326741488030,3.97391494625e+24,7.93725393319e+12,11.5142042826,24.5992185677,12.8996702747,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,0,0,0,0,0,0,1
Nemotron 3 Ultra,2026-06-04,2026,NVIDIA,Language,"Language modeling/generation,Question answering",550000000000,6.6e+24,2.3e+13,11.7403626895,24.8195439355,13.361727836,epoch_source_estimate,epoch_source_estimate,mice_pmm,0,0,1,0,0,0,0,0,0,0,1,0,0,1
Claude Fable 5,2026-06-09,2026,Anthropic,"Language,Multimodal","Language modeling/generation,Question answering",314000000000,3.80473389345e+24,8.16088230524e+12,11.4969296481,24.5803242872,12.9117371146,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,0,1,0,0,0,0,1
Claude Mythos 5,2026-06-09,2026,Anthropic,"Language,Multimodal","Language modeling/generation,Question answering",460434577329,1.04604254216e+24,3e+12,11.6631679305,24.0195493475,12.4771212547,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,0,1,0,0,0,0,1
Solar Open2 250B,2026-06-28,2026,Upstage,Language,"Language modeling,Reasoning,Tool use,Translation,Question answering",250300000000,1.05e+24,1.1e+13,11.3984608496,24.0211892991,13.0413926852,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,1,1,0,0,0,0,0,1,0,0,0
Inkling,2026-07-15,2026,Thinking Machines,"Language,Multimodal,Audio,Video,Vision","Language modeling/generation,Chat",975000000000,1.845e+24,4.5e+13,11.9890046157,24.2659963705,13.6532125138,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,1,0,1,0,1,0,0,0
Kimi K3,2026-07-16,2026,Moonshot,"Language,Multimodal,Vision",Language modeling/generation,2.8e+12,2.0001e+25,1.48e+13,12.4471580313,25.3010517098,13.1702617154,epoch_source_estimate,epoch_source_estimate,mice_pmm,0,0,1,0,0,0,0,0,1,0,1,0,0,1
Qwen 3.8 Max,2026-07-19,2026,Alibaba,Language,"Language modeling/generation,Question answering",2.4e+12,2.49319072676e+25,1.48e+13,12.3802112417,25.3967555029,13.1702617154,strict_observed,mice_pmm,mice_pmm,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Claude Opus 5,2026-07-24,2026,Anthropic,"Language,Vision,Multimodal","Language modeling/generation,Chat",671000000000,4.28616751889e+24,1.5247950682e+13,11.8267225202,24.6320691408,13.1832114786,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,1,0,1,0,0,0,0,1
A.X K2,2026-07-29,2026,SK Telecom,Language,"Code generation,Language modeling/generation,Translation,Instruction interpretation,Mathematical reasoning,Chat,Language modeling,Language generation,Text autocompletion",688000000000,1.8e+24,1.56e+13,11.8375884382,24.2552725051,13.1931245984,strict_observed,strict_observed,mice_pmm,0,0,1,1,0,0,1,1,0,0,1,0,0,1
K-EXAONE 2.0,2026-07-31,2026,LG AI Research,Language,"Language modeling/generation,Chat,Question answering,Code generation,Mathematical reasoning,Instruction interpretation",750000000000,3.55e+24,1.48e+13,11.8750612634,24.5502283531,13.1702617154,strict_observed,strict_observed,mice_pmm,0,0,1,1,0,0,1,1,0,0,1,0,0,1
